Website Builder,Link,Description,Pricing,Category
Squarespace,https://www.squarespace.com/,,,Website Builder>No-code All in One 
Wix,https://www.wix.com/,,,Website Builder> No-code All in One 
Unicorn Platform,https://unicornplatform.com/,"Unicorn Platform is a modern, no-code website and blog builder designed specifically for startups, mobile apps, and SaaS. It provides a simple drag-and-drop interface that requires zero coding skills. Users can easily edit pages online, customize colors, fonts, button styles, and backgrounds, and publish their website on a custom domain with a single click.

The platform offers a collection of components and pre-designed templates, making it easy to create a professional-looking website. It also features AI-powered editing capabilities, allowing for mass changes, page creation, form editing, and translation.

Unicorn Platform provides pre-made integrations for form collection, widgets, and embeds, allowing users to connect third-party services like Intercom, Drip, Crisp, Google Forms, and Maps. It also supports secure and seamless Stripe Checkout integration for accepting both one-time and recurring payments.

The platform allows you to create one website for free. For additional features and capabilities, users need to opt for a paid plan.",US$ 8/month,Website Builder> No-code All in One 
Durable,https://durable.co/,"Durable.co 

Gabrielle’s take: 
Durable is suitable for small business owners/solopreneurs who want an all-in-one workspace for different parts of the business (website, CRM, payment and invoicing, marketing, customer support).  

Its AI features enable users to quickly create a website, auto-respond to form inquiries, auto-create and publish blog posts, and write ad copies. 

The team has an aggressive roadmap that they want to make owning a business easier than having a job where all of the core functions - business formation, bank account, insurance, marketing automation, tax and accounting, recruiting, payroll, and more - are solved in a few clicks. https://durable.co/blog/series-a

Durable core features: 
https://www.youtube.com/watch?v=D-z-uAvAqTk&ab_channel=StewartGauld
(1) AI-powered website builder
small business software that enables users to generate a fully functional website in just 30 seconds. The platform creates a complete website with images, copy, and a contact form in a matter of seconds. It also offers simple editing tools, multiple pages, and a free custom domain, all without requiring any coding skills.

(2) Brand builder
https://durable.co/blog/brand-builder
The brand kit includes:
* Logo variations
* Font variations
* Color palette
* Social and print assets
* Email assets
* Business card

(3) Operation suite 
A suite of Marketing, invoicing, and customer relationship management (CRM). You could easily create social media, blog posts, or email newsletters with the help of AI. 
 
Ins post 
 
email 

 
CRM

(4) Integrations with business essentials like Chat and cookies management. 
This comes in handy as you don’t need 3rd party tools to manage those separately.

The Cons: 
The SEO features are not great. The AI-powered newsletters or blog posts do NOT really allow us to input our own outline. 


",$15 month,Website Builder> No-code All in One 
card.io,https://carrd.co/,,$20 year,
Google site,,,Free,
10 Web,https://10web.io/,"10Web is an AI-powered website builder that allows users to create or recreate any website in minutes. It generates tailored content and images based on a few simple questions about your business, which can then be customized using a drag-and-drop editor. The platform also offers a variety of premium widgets for different functionalities, layout, marketing, and eCommerce needs.

In addition to the website builder, 10Web offers a suite of AI tools for businesses, including an AI Business Name Generator, an AI Marketing Strategy Generator, and an AI SEO tool. These tools help generate business names, marketing strategies, and SEO keywords, respectively.

For eCommerce businesses, 10Web provides features like AI integration for product page customization, product description generation, inventory and order tracking, and PayPal and Stripe integration for payments.

The platform does not mention a free version, but it does state that no credit card is required to generate a website. For detailed pricing and features included in the paid version, it's recommended to visit their pricing page or contact their support.
",,Website Builder>Wordpress
Droip,https://droip.com/,,,
Job resources,,,,
Teamed,https://teamedforlearning.com/,"Teamed is a niche instructional design Hiring and jobs platform.
Since their establishment in 2017, Teamed has fostered an extensive network comprised of over 30,000+ industry professionals.

You can find full-time, part-time, and contract opportunities across multiple industries and role types. 

Industry: Corporate L&D, Non-Profit, Government, EdTech, College, Publisher, and K12. 

Role types: content development, eLearning development, instructional design, project managers, multimedia developers",,Job resources>Job board
Edsurge job board,https://www.edsurge.com/jobs,"EdSurge job board is more K-12 oriented, whether it be K-12 teaching side, or K-12 EdTech product side. 
Job Category: Curriculum Design, Customer Success, Engineering, Executive, Higher Ed Administrative, Higher Ed Faculty & Instruction, K-12 Administrative / Leadership, K-12 Teaching, Marketing, Operations, Product & Design, Research, Sales",,Job resources>Job board
Volunteer match ,https://www.volunteermatch.org/search,"I always recommend people take a look at opportunities posted at Volunteer Match. Although it is not technically a ‘job board’, it offers real-world project experiences to apply your instructional design/eLearning development skills. Plus, it just feels so great to be able to help a non-profit/company.",,Job resources>Job board
