id,Title,Content,Excerpt,Date,"Post Type","Image URL","Image Filename","Image Path","Image ID","Image Title","Image Caption","Image Description","Image Alt Text","Image Featured","Attachment URL","Attachment Filename","Attachment Path","Attachment ID","Attachment Title","Attachment Caption","Attachment Description","Attachment Alt Text",网址分类目录,网址标签,_sites_link
1654,"Devlin  Peck","<!-- wp:paragraph -->
<p>A content creator and coach in instructional design.</p>
<!-- /wp:paragraph -->",,2023-12-31,sites,,,,,,,,,,,,,,,,,,"Learning &amp; Development>KOL","Break into L&amp;D|eLearning portfolio|Get interviews|Instructional design basics",https://www.devlinpeck.com/
1655,"L&amp;D Shaker","<!-- wp:paragraph -->
<p>L&amp;D Shaker is global community (mostly Europe and India) in building networks around learning and design.</p>
<!-- /wp:paragraph -->

<!-- wp:image {""lightbox"":{""enabled"":true},""id"":1657,""sizeSlug"":""full"",""linkDestination"":""none"",""className"":""is-style-default""} -->
<figure class=""wp-block-image size-full is-style-default""><img src=""https://courselab.in/wp-content/uploads/2023/12/LD-Shakers-1.png"" alt=""L&amp;D Shaker Community Notion Page"" class=""wp-image-1657""/></figure>
<!-- /wp:image -->",,2023-12-31,sites,https://courselab.in/wp-content/uploads/2023/12/LD-Shakers2.png|https://courselab.in/wp-content/uploads/2023/12/LD-Shakers-1.png,LD-Shakers2.png|LD-Shakers-1.png,/home/u402076208/domains/courselab.in/public_html/wp-content/uploads/2023/12/LD-Shakers2.png|/home/u402076208/domains/courselab.in/public_html/wp-content/uploads/2023/12/LD-Shakers-1.png,1656|1657,"L&D Shakers2|LD-Shakers-1",|,|,"L&D Shakers Logo|",,,,,,,,,,"Learning &amp; Development>News and Community",,https://soft-talos-bf8.notion.site/Welcome-to-the-L-D-Shakers-23972fa0a18f419a9abe1bd59cb174c0
2045,"Tim Slade","<!-- wp:paragraph -->
<p>A content creator and coach in instructional design.</p>
<!-- /wp:paragraph -->",,2024-08-14,sites,,,,,,,,,,,,,,,,,,"Learning &amp; Development>KOL","eLearning portfolio|Instructional design basics|Visual design",https://timslade.com/
2059,"Tim Slade's cohort-based eLearning designer academy",,,2024-08-14,sites,,,,,,,,,,,,,,,,,,"Learning &amp; Development>Courses","cohort-based|eLearning development|expensive",https://elearningacademy.io/academy/
2060,"LinkedIn Learning Path: Build Your Skills as an Instructional Designer",,,2024-08-14,sites,,,,,,,,,,,,,,,,,,"Learning &amp; Development>Courses","Instructional design basics|Learning path|On demand",https://www.linkedin.com/learning/paths/build-your-skills-as-an-instructional-designer
2061,"Tim Slade's cohort-based eLearning designer academy #2",,,1970-01-01,sites,,,,,,,,,,,,,,,,,,"Learning &amp; Development>Courses","cohort-based|eLearning development|expensive",
2117,Squarespace,,,2024-08-21,sites,,,,,,,,,,,,,,,,,,"Website Builder>No-code builder",,https://www.squarespace.com/
2118,"Unicorn Platform","Unicorn Platform is a modern, no-code website and blog builder designed specifically for startups, mobile apps, and SaaS. It provides a simple drag-and-drop interface that requires zero coding skills. Users can easily edit pages online, customize colors, fonts, button styles, and backgrounds, and publish their website on a custom domain with a single click.

The platform offers a collection of components and pre-designed templates, making it easy to create a professional-looking website. It also features AI-powered editing capabilities, allowing for mass changes, page creation, form editing, and translation.

Unicorn Platform provides pre-made integrations for form collection, widgets, and embeds, allowing users to connect third-party services like Intercom, Drip, Crisp, Google Forms, and Maps. It also supports secure and seamless Stripe Checkout integration for accepting both one-time and recurring payments.

The platform allows you to create one website for free. For additional features and capabilities, users need to opt for a paid plan.",,2024-08-21,sites,,,,,,,,,,,,,,,,,,"Website Builder>No-code builder",,https://unicornplatform.com/
2120,card.io,,,2024-08-21,sites,,,,,,,,,,,,,,,,,,"Website Builder>Easy setup",,https://carrd.co/
2121,"Google site",,,2024-08-21,sites,,,,,,,,,,,,,,,,,,"Website Builder>Easy setup",,
